"Código.IBGE.Município","Ano","Mês","UF","Município","Faixa.de.Velocidade","Velocidade","Tecnologia","Meio.de.Acesso","Tipo.de.Pessoa","Tipo.de.Produto","Acessos","Municipio","AreaTerritorialkm22022","Populacaoresidentepessoas2022","Densidadedemograficahabkm22022","Escolarizacao6a14anos2010","IDHM2010","PIBpercapita2021"
4102406,2022,12,"PR","Bandeirantes","0Kbps a 512Kbps",0.064,"ETHERNET","Fibra","Pessoa Jurídica","LINHA_DEDICADA",1,"Bandeirantes",445.192,31273,70.25,97.8,0.727,33274.08
4102406,2022,4,"PR","Bandeirantes","2Mbps a 12Mbps",10,"VSAT","Satélite","Pessoa Jurídica","INTERNET",1,"Bandeirantes",445.192,31273,70.25,97.8,0.727,33274.08
4102406,2022,1,"PR","Bandeirantes","2Mbps a 12Mbps",6,"ETHERNET","Rádio","Pessoa Física","INTERNET",36,"Bandeirantes",445.192,31273,70.25,97.8,0.727,33274.08
4102406,2022,10,"PR","Bandeirantes","12Mbps a 34Mbps",30,"VSAT","Satélite","Pessoa Física","INTERNET",1,"Bandeirantes",445.192,31273,70.25,97.8,0.727,33274.08
4102406,2022,12,"PR","Bandeirantes","12Mbps a 34Mbps",20,"ADSL2","Cabo Metálico","Pessoa Jurídica","INTERNET",1,"Bandeirantes",445.192,31273,70.25,97.8,0.727,33274.08
4102406,2022,1,"PR","Bandeirantes","512kbps a 2Mbps",0.97656,"ADSL1","Cabo Metálico","Pessoa Física","INTERNET",86,"Bandeirantes",445.192,31273,70.25,97.8,0.727,33274.08
4102406,2022,1,"PR","Bandeirantes","512kbps a 2Mbps",2,"FTTB","Fibra","Pessoa Jurídica","LINHA_DEDICADA",3,"Bandeirantes",445.192,31273,70.25,97.8,0.727,33274.08
4102406,2022,7,"PR","Bandeirantes","12Mbps a 34Mbps",30,"VDSL","Cabo Metálico","Pessoa Jurídica","INTERNET",1,"Bandeirantes",445.192,31273,70.25,97.8,0.727,33274.08
4102406,2022,5,"PR","Bandeirantes","2Mbps a 12Mbps",8,"ADSL2","Cabo Metálico","Pessoa Jurídica","INTERNET",2,"Bandeirantes",445.192,31273,70.25,97.8,0.727,33274.08
4102406,2022,5,"PR","Bandeirantes","12Mbps a 34Mbps",20,"ADSL2","Cabo Metálico","Pessoa Jurídica","INTERNET",1,"Bandeirantes",445.192,31273,70.25,97.8,0.727,33274.08
4102406,2022,12,"PR","Bandeirantes","2Mbps a 12Mbps",10,"FTTB","Fibra","Pessoa Jurídica","LINHA_DEDICADA",3,"Bandeirantes",445.192,31273,70.25,97.8,0.727,33274.08
4102406,2022,7,"PR","Bandeirantes","2Mbps a 12Mbps",4,"FTTH","Fibra","Pessoa Jurídica","LINHA_DEDICADA",1,"Bandeirantes",445.192,31273,70.25,97.8,0.727,33274.08
4102406,2022,10,"PR","Bandeirantes","12Mbps a 34Mbps",20,"ADSL2","Cabo Metálico","Pessoa Física","INTERNET",5,"Bandeirantes",445.192,31273,70.25,97.8,0.727,33274.08
4102406,2022,4,"PR","Bandeirantes","512kbps a 2Mbps",1,"FR","Cabo Metálico","Pessoa Jurídica","LINHA_DEDICADA",1,"Bandeirantes",445.192,31273,70.25,97.8,0.727,33274.08
4102406,2022,5,"PR","Bandeirantes","2Mbps a 12Mbps",10,"ADSL2","Cabo Metálico","Pessoa Física","INTERNET",154,"Bandeirantes",445.192,31273,70.25,97.8,0.727,33274.08
4102406,2022,8,"PR","Bandeirantes","2Mbps a 12Mbps",2.048,"FTTH","Fibra","Pessoa Jurídica","LINHA_DEDICADA",8,"Bandeirantes",445.192,31273,70.25,97.8,0.727,33274.08
4102406,2022,11,"PR","Bandeirantes","512kbps a 2Mbps",0.97656,"ADSL1","Cabo Metálico","Pessoa Jurídica","INTERNET",3,"Bandeirantes",445.192,31273,70.25,97.8,0.727,33274.08
4102406,2022,8,"PR","Bandeirantes","0Kbps a 512Kbps",0.064,"ETHERNET","Fibra","Pessoa Jurídica","LINHA_DEDICADA",1,"Bandeirantes",445.192,31273,70.25,97.8,0.727,33274.08
4102406,2022,4,"PR","Bandeirantes","512kbps a 2Mbps",2,"ADSL2","Cabo Metálico","Pessoa Física","INTERNET",28,"Bandeirantes",445.192,31273,70.25,97.8,0.727,33274.08
4102406,2022,5,"PR","Bandeirantes","12Mbps a 34Mbps",20,"FTTH","Fibra","Pessoa Jurídica","INTERNET",1,"Bandeirantes",445.192,31273,70.25,97.8,0.727,33274.08
4102406,2022,11,"PR","Bandeirantes","> 34Mbps",100,"FTTB","Fibra","Pessoa Jurídica","INTERNET",176,"Bandeirantes",445.192,31273,70.25,97.8,0.727,33274.08
4102406,2022,1,"PR","Bandeirantes","2Mbps a 12Mbps",5,"ADSL2","Cabo Metálico","Pessoa Física","INTERNET",115,"Bandeirantes",445.192,31273,70.25,97.8,0.727,33274.08
4102406,2022,12,"PR","Bandeirantes","2Mbps a 12Mbps",10,"ADSL2","Cabo Metálico","Pessoa Física","INTERNET",110,"Bandeirantes",445.192,31273,70.25,97.8,0.727,33274.08
4102406,2022,12,"PR","Bandeirantes","2Mbps a 12Mbps",10,"VSAT","Satélite","Pessoa Jurídica","INTERNET",2,"Bandeirantes",445.192,31273,70.25,97.8,0.727,33274.08
4102406,2022,2,"PR","Bandeirantes","0Kbps a 512Kbps",0.0625,"FR","Cabo Metálico","Pessoa Jurídica","LINHA_DEDICADA",1,"Bandeirantes",445.192,31273,70.25,97.8,0.727,33274.08
4102406,2022,12,"PR","Bandeirantes","> 34Mbps",50,"ETHERNET","Fibra","Pessoa Jurídica","INTERNET",2,"Bandeirantes",445.192,31273,70.25,97.8,0.727,33274.08
4102406,2022,11,"PR","Bandeirantes","12Mbps a 34Mbps",20,"ADSL2","Cabo Metálico","Pessoa Física","INTERNET",5,"Bandeirantes",445.192,31273,70.25,97.8,0.727,33274.08
